© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
MAPK9	 	kinase	 	1.285	5.15E-04	6.25E-03	BCL2,CDKN1B,CEBPB,EGR1,FOS,HMGCR,HMGCS1,JUN,JUNB,KLF6	150 (13)
TNF	 	cytokine	Activated	2.315	5.22E-04	6.29E-03	Acp5,ADRB2,AICDA,APOE,B2M,BCL2,BIRC5,CCR1,CCR7,CEBPB	202 (14)
Brd4	 	kinase	Activated	2.891	5.29E-04	6.33E-03	ALAS2,GPR183,HBA1/HBA2,ITGB7,KLF4,LGALS3,LY86,MYC,PECAM1,PGAM1	 
TLR9	 	transmembrane receptor	 	0.866	5.35E-04	6.36E-03	BCL2,CCNB1,CD274,CD69,CDKN1B,DUSP1,EGR1,GADD45B,GLRX3,Gm21596/Hmgb1	164 (13)
RNA polymerase II	 	complex	 	 	5.41E-04	6.39E-03	Acp5,AGPAT2,FOS,GADD45B,GBP2,GBP7,HBE1,HSPA1A/HSPA1B,JUN,KPNA2	 
POU2AF1	 	transcription regulator	 	-0.751	5.82E-04	6.84E-03	AICDA,B4GALT1,BCL6,CCND3,CD69,LGALS1,S100A10	122 (5)
Histone h3	 	group	 	 	5.91E-04	6.91E-03	BIRC5,CCNA2,CCNB1,CCNE1,CDC6,CDKN1B,CDKN2C,CKAP4,DBF4,E2F1	 
CNOT6L	 	enzyme	 	0.762	8.01E-04	9.30E-03	BIRC5,CCNB1,CDKN1B,TUBB4B	 
LDB1	 	transcription regulator	 	-0.392	8.54E-04	9.71E-03	AHR,ALDH1B1,BCL2,CCND2,CCND3,CDKN2C,GOLM1,GPR183,GTSE1,HHEX	 
ARRB1	 	transcription regulator	 	 	8.56E-04	9.71E-03	BCL2,EGR1,JUNB,MYC,PCNA,SCARB1	105 (8)
PXDN	 	enzyme	Inhibited	-2.236	8.62E-04	9.71E-03	ADM,DUSP1,JUN,KLF6,MYC	 
APEX1	 	enzyme	Activated	2.236	8.62E-04	9.71E-03	EGR1,FOS,FOSB,JUNB,NR4A1	 
HSF1	 	transcription regulator	 	-0.149	8.63E-04	9.71E-03	B2M,BUB1B,CCNA2,CCNE1,CDK1,CEBPB,DNAJB1,HSPA1A/HSPA1B,Hspa1b,MSH3	 
MAP3K8	2.291	kinase	 	1.567	8.75E-04	9.80E-03	CCR1,EGR1,GPR171,IER5,JUNB,MAD2L1,NFAM1,NR4A1,PTGER4,RHOF	168 (12)
BTK	 	kinase	 	1.231	9.54E-04	1.03E-02	AICDA,CCND2,CCND3,CCNE1,CD2,CDK2,CEBPB,IFNGR2,ITGB3	141 (12)
CCND2	1.212	other	 	 	9.55E-04	1.03E-02	CCND2,CCND3,CDKN1B	158 (5)
KIDINS220	 	transcription regulator	 	 	9.55E-04	1.03E-02	CD69,EGR1,FOS	32 (3)
FOXD3	 	transcription regulator	 	 	9.55E-04	1.03E-02	EZH2,FOXM1,SKP2	 
PIM3	 	kinase	 	 	9.55E-04	1.03E-02	CD38,MYC,SELL	 
GNMT	 	enzyme	 	 	9.55E-04	1.03E-02	ABCG1,NPC2,SCARB1	 
SOCS1	 	other	 	-1.824	9.88E-04	1.06E-02	CCND2,CCND3,CCR6,CCR7,CD1D,CD69,Chil3/Chil4,DUSP1,Gvin1 (includes others),IFI16	158 (12)
IKZF2	 	transcription regulator	Inhibited	-2.646	1.03E-03	1.10E-02	CD2,CD69,IL10RA,IRF4,Ly6a (includes others),NR4A1,TNFRSF18	 
IL2	 	cytokine	 	1.897	1.06E-03	1.13E-02	AHR,BCL2,BCL6,CAPG,CCR1,CD47,CFP,CTLA4,HHEX,LRRC32	158 (11)
RORA	 	ligand-dependent nuclear receptor	Inhibited	-2.353	1.14E-03	1.19E-02	ASNS,BIRC5,CCNA2,CCNB1,CCNE1,CCR6,CDC6,CDK1,CDKN1B,CHEK1	 
CDKN1B	4.001	kinase	 	0.040	1.14E-03	1.19E-02	ADGRE5,B2M,CCND3,CDK2,CDKN1B,CPSF2,EGR1,LGALS3,MYC,PCNA	163 (6)
Immunoglobulin	 	complex	 	 	1.15E-03	1.19E-02	CCND2,CCND3,CCNE1,CDK2,IRF4	109 (8)
TRIM28	 	transcription regulator	 	1.000	1.15E-03	1.19E-02	ALAS2,FOXO3,HBE1,HMBS,KLF2	 
IREB2	 	translation regulator	 	-0.762	1.15E-03	1.19E-02	ALAS2,CYCS,FXN,LDHA,PFN2	 
PSEN1	 	peptidase	 	0.629	1.18E-03	1.22E-02	APOE,CTSC,CTSD,CTSS,CYP51A1,CYTIP,DHRS7,DUSP1,FOS,FOXO3	 
KCNE3	 	ion channel	 	 	1.19E-03	1.22E-02	BCAT1,FOSB,HSPA1A/HSPA1B,Igha,Iglv1,IRF4,JCHAIN,KLF4,NR4A1,Sik1	 
CSF1	 	cytokine	 	-0.000	1.20E-03	1.22E-02	Acp5,APOE,BCL2,BIRC5,CCNB1,CCR1,CDK2,CFP,CTSD,FOS	125 (9)
SHC1	 	other	 	-0.750	1.21E-03	1.22E-02	BCL2,CCR7,KLF2,S1PR1	 
E2F6	 	transcription regulator	Inhibited	-2.000	1.21E-03	1.22E-02	CBX5,CDC6,RFC4,RPA2	 
APOE	2.781	transporter	 	-1.781	1.31E-03	1.31E-02	ANGPTL4,APOE,CCND2,CSF2RB,CTSB,CTSD,CTSS,DBI,EGR1,HMGCR	134 (11)
NFYA	 	transcription regulator	 	 	1.50E-03	1.46E-02	BCL2,CCNA2,CCNB1,CDC25B,TXNIP	 
E2F2	 	transcription regulator	 	 	1.50E-03	1.46E-02	CCNB2,CCNE1,CDC6,E2F1,RBL1	 
KLF5	 	transcription regulator	 	-1.109	1.50E-03	1.46E-02	CCNA2,CCNB1,CCNB2,CDK1,MYC	 
G protein alphai	 	group	Activated	3.130	1.50E-03	1.46E-02	CD274,FOS,GBP2,GBP7,HLA-A,Igtp,Irgm1,KLF4,SOCS3,TUBB6	 
FADD	 	other	 	-0.333	1.50E-03	1.46E-02	EGR1,FOS,FOXM1,GADD45B,JUN,JUNB,KLF6,LY6E,MYC,PPP1R15A	 
CDKN1A	 	kinase	 	1.238	1.50E-03	1.46E-02	CCNB1,CCND3,CCNE1,E2F1,E2F7,EIF2S1,FOXM1,RAD51,TOP2A,TPST2	187 (8)
mir-142	 	microRNA	 	-1.539	1.60E-03	1.52E-02	AHR,DSTN,GBP2,GBP7,HLA-A,IFNGR2,Ly6a (includes others),SELL,SOCS3	114 (7)
KCNIP3	 	transcription regulator	 	-1.667	1.60E-03	1.52E-02	Acp5,ADRB2,CCR7,DDT,NLRX1,PGLYRP1,PTGER4,SOCS3,ZFP36	 
TREM2	 	transmembrane receptor	Activated	2.345	1.60E-03	1.52E-02	ASPM,B2M,Chil3/Chil4,CTSB,HLA-A,LGALS1,LGALS3,LIPA,TMEM163	 
HOXA3	 	transcription regulator	 	-0.684	1.60E-03	1.52E-02	CEBPB,EVI2A,HBA1/HBA2,HBE1,KLF2,PRKCD,PSTPIP1,TSPAN32	 
SMC1A	-1.476	transporter	 	0.000	1.60E-03	1.52E-02	BCL2,CDC20,EZH2,FLT3,KLF4,MYC,RAD21,TET2	 
SNAI1	 	transcription regulator	 	0.883	1.61E-03	1.52E-02	CCND2,CCND3,CCNE1,CDC25B,CDK2,SLC29A1	 
NFYB	 	transcription regulator	 	 	1.75E-03	1.63E-02	CCNB2,CDC25C,PLK1,RRM2	 
RPS6KA4	 	kinase	 	1.992	1.75E-03	1.63E-02	DUSP1,FOS,JUN,JUNB	54 (5)
TRIM24	 	transcription regulator	Inhibited	-3.051	1.75E-03	1.63E-02	Apol9a/Apol9b,GBP2,Gm12854/S100a11,IFNGR2,Igtp,Irgm1,LGALS3,Ly6a (includes others),PCLAF,PLAC8	123 (8)
STAT4	 	transcription regulator	 	1.664	1.80E-03	1.66E-02	BAD,BCL2,CDKN1B,GADD45G,KDM6B,MAP3K8,MYC,PLAC8,SELPLG	 
PKD2	 	ion channel	 	 	1.84E-03	1.69E-02	Havcr1,LEFTY1,PYCR2	 
LILRB3	3.412	transmembrane receptor	 	 	1.84E-03	1.69E-02	HMGCR,IDI1,SQLE	 
ZBTB16	 	transcription regulator	 	-1.030	1.91E-03	1.72E-02	BACH2,BCL6,CD2,CD274,CD55,IL10RA,IL9R,KLF2,KLHL6,LY86	 
ITPR2	 	ion channel	Activated	2.236	1.92E-03	1.72E-02	CD274,Igtp,Irgm1,Ly6a (includes others),Tgtp1/Tgtp2	 
GADD45A	 	other	 	-1.387	1.92E-03	1.72E-02	BCL2,FOSB,JUN,NEK2,PCNA	97 (6)
PDPK1	 	kinase	 	 	1.92E-03	1.72E-02	CCR7,FOXO3,KLF2,S1PR1,SELL	27 (2)
IFNB1	 	cytokine	Activated	2.184	1.94E-03	1.73E-02	CD274,FOS,GBP2,GBP7,HMGB2,HMGCR,HMGCS1,IDI1,IFI16,Igtp	154 (10)
TERC	 	other	 	 	1.96E-03	1.74E-02	AURKA,CDC20,EGR1,HMGCR,MCM10,PRC1	 
KRAS	 	enzyme	 	 	2.07E-03	1.81E-02	ABCG1,Acp5,BCL2,CEBPB,CSF2RB,FOXM1,Gm20559,JUN,LDHA,Ly6a (includes others)	 
RGS2	 	enzyme	 	-0.577	2.08E-03	1.81E-02	ADM,ANXA4,ATXN10,BAD,BTG2,Hmgn2 (includes others),OSTF1,PDIA4,PDLIM1,PSTPIP1	 
SPARC	 	other	Activated	2.309	2.08E-03	1.81E-02	BHLHE40,BRIP1,CHAF1A,CHAF1B,HAT1,MBD4,MCM6,POLE2,RFC4,RRM1	 
SERPINE1	 	other	 	0.788	2.10E-03	1.81E-02	BCL6,DUSP1,EGR1,FOS,HBA1/HBA2,ITGB3,JUNB,ZFP36	 
NCOA2	 	transcription regulator	 	0.169	2.17E-03	1.81E-02	ALAS2,ALDH1B1,CCR7,CEBPB,CYP51A1,HLA-A,HMGCR,HMGCS1,IDI1,IRF4	 
LIMIT	 	other	 	 	2.19E-03	1.81E-02	GBP2,HLA-A	 
MSK1/2	 	group	 	 	2.19E-03	1.81E-02	DUSP1,FOS	 
L-type Calcium Channel	 	complex	 	 	2.19E-03	1.81E-02	APOE,FOS	 
Gpcr	 	group	 	 	2.19E-03	1.81E-02	FOS,JUN	 
E2F7	-4.657	transcription regulator	 	 	2.19E-03	1.81E-02	CDC6,MCM2	 
GRAP2	2.700	other	 	 	2.19E-03	1.81E-02	CD69,MYC	 
CHRM1	 	G-protein coupled receptor	 	 	2.19E-03	1.81E-02	HNRNPA2B1,JUN	 
CCNA2	-6.001	other	 	 	2.19E-03	1.81E-02	CCNA2,PCNA	 
PA2G4	 	transcription regulator	 	 	2.19E-03	1.81E-02	DNMT1,SUV39H1	 
Hspa1b	1.663	other	 	 	2.19E-03	1.81E-02	FOS,Hspa1b	 
HSPA1A/HSPA1B	2.175	enzyme	 	 	2.19E-03	1.81E-02	FOS,Hspa1b	 
MET	 	kinase	 	-0.518	2.21E-03	1.82E-02	AURKA,AURKB,CCND2,CDK1,Hspa1b,MAD2L1,MYC,PLK1,PLK2,SLA	38 (3)
CLOCK	 	transcription regulator	 	 	2.22E-03	1.82E-02	ANGPTL4,BHLHE40,CCR6,CYP51A1,ESYT1,GADD45B,GIMAP4,Gm12854/S100a11,HSD17B8,Hspa1b	 
MYB	 	transcription regulator	 	0.816	2.27E-03	1.86E-02	BANK1,BCL2,CCND3,CCNE1,CNN3,GIMAP1-GIMAP5,PPP3CA,RGCC,SDC4	 
P38 MAPK	 	group	 	1.105	2.29E-03	1.86E-02	CCND2,CCNE1,DUSP1,EGR1,FOS,JUN,JUNB,MYC,SOCS3,Tgtp1/Tgtp2	119 (10)
PARP1	 	enzyme	 	1.229	2.29E-03	1.86E-02	CCR6,CD274,CTLA4,E2F1,FOS,GBP2,GBP7,Igtp,JUN,Tgtp1/Tgtp2	154 (9)
PEX5L	 	ion channel	 	1.987	2.44E-03	1.96E-02	FDFT1,FDPS,HMGCR,IDI1	 
RAC2	 	enzyme	 	 	2.70E-03	2.17E-02	BAD,FOS,GCSAM,LDHA,NR4A1,S100A6,SLPI	35 (3)
ZBTB10	 	transcription regulator	Activated	2.387	2.74E-03	2.19E-02	B2M,CCR7,CD1D,CD274,HPSE,IFI16,Igtp,IL10RB,IRF4,Irgm1	 
CFTR	 	ion channel	 	0.508	2.80E-03	2.23E-02	ASNS,CAPG,FAAH,FDFT1,FDPS,IDI1,PGLYRP1,Slfn2,SOCS3,SQLE	 
NR3C1	 	ligand-dependent nuclear receptor	 	0.091	3.02E-03	2.37E-02	ADM,ANGPTL4,ATP6AP1,B2M,CCR1,CCR7,CD47,CKS1B,DBI,DUSP1	143 (9)
MFSD2A	 	transporter	Activated	2.213	3.02E-03	2.37E-02	CYP51A1,FADS1,FADS2,FDFT1,IDI1	 
Tnfsf9	 	other	 	1.342	3.02E-03	2.37E-02	AICDA,BACH2,BCL6,CD274,Chil3/Chil4	 
IL10RA	2.654	transmembrane receptor	Inhibited	-3.428	3.06E-03	2.40E-02	ABCG1,ASS1,CCR7,CD1D,CD300LF,CD69,CSRP2,EMP2,GBP2,GPR171	58 (3)
ERBB2	 	kinase	Inhibited	-2.213	3.09E-03	2.40E-02	CCNB1,CDKN1B,CYP51A1,HMGCR,HSPA1A/HSPA1B,IDI1,ITGB3,MAN1A1,MYC,SQLE	 
PRCP	 	peptidase	 	 	3.11E-03	2.40E-02	KLF2,KLF4,PECAM1	 
SULT2B1	 	enzyme	 	 	3.11E-03	2.40E-02	BCL2,CCNB1,MYC	 
HUWE1	 	transcription regulator	 	 	3.11E-03	2.40E-02	CCND2,CDKN2C,MYC	 
PPARG	 	ligand-dependent nuclear receptor	 	-0.192	3.21E-03	2.46E-02	ABCG1,ADRB2,AGPAT2,ANGPTL4,APOE,BCL6,CCR7,CD274,CDK2,CTPS1	123 (7)
RPS6KA5	 	kinase	 	1.998	3.29E-03	2.50E-02	DUSP1,FOS,JUN,JUNB	64 (6)
ELK1	 	transcription regulator	 	 	3.29E-03	2.50E-02	EGR1,FOS,JUNB,NR4A1	 
IKBKG	 	kinase	Activated	3.109	3.30E-03	2.50E-02	CCR1,CEBPB,CTSB,FOS,GBP2,GM2A,Gstt1,HLA-A,IFI16,JUNB	88 (7)
HDAC2	 	transcription regulator	 	1.640	3.40E-03	2.57E-02	BCL6,EGR1,LIG1,MCM10,MCM3,MCM5,MCM7,MYC,NASP,RAD54L	 
SPIB	 	transcription regulator	Activated	2.333	3.47E-03	2.61E-02	APOE,EGR1,HSPA1A/HSPA1B,Hspa1b,Iglv2,KDM6B,KLF6,LILRB3,MBD2,NEIL1	 
PML	4.358	transcription regulator	Activated	2.057	3.73E-03	2.80E-02	ANXA4,APOE,BIRC5,CIT,HMGCR,HMGCS1,IDI1,LIPC,STMN1,TXN	 
TCF12	 	transcription regulator	 	-1.414	3.88E-03	2.86E-02	IL9R,ITGB7,JUN,KLF2,KLF6,Ly6a (includes others),LY6D,S1PR1	 
26s Proteasome	 	complex	 	-0.640	3.89E-03	2.86E-02	Chil3/Chil4,MLF1,SFTPC,SOCS3,TXNIP,VIM	16 (2)
KLF1	 	transcription regulator	 	0.314	3.89E-03	2.86E-02	ALAS2,CD55,CDKN2C,HBE1,KLF3,PECAM1	 
BRCA1	 	transcription regulator	Inhibited	-2.190	3.89E-03	2.86E-02	CCNE1,CDKN1B,GADD45B,NEK2,RUVBL2,VIM	 
ERK1/2	 	group	 	1.219	3.90E-03	2.86E-02	CCND2,EGR1,FOS,HMGA1,JUN,JUNB,MYC,S100A6,SOCS3	146 (10)
TSC2	 	other	 	-0.366	4.11E-03	3.00E-02	ATP6V0B,BCL2,BIRC5,CCND3,CDKN1B,EGR1,HEXA,LGALS3,NPC2,PSMD1	180 (14)
CHUK	 	kinase	Activated	3.110	4.11E-03	3.00E-02	CCR1,CEBPB,CTSB,FOS,GBP2,GM2A,Gstt1,HLA-A,IFI16,JUNB	 
TLR4	 	transmembrane receptor	Activated	2.253	4.15E-03	3.02E-02	BCL2,CCND2,CD274,FOS,GADD45G,GBP2,HHEX,IDH2,IFI16,Igtp	171 (11)
ETV5	 	transcription regulator	 	-0.420	4.35E-03	3.14E-02	AHNAK,EMP2,HOPX,LGALS3,LYZ,S100A6,SCARB1,SFTPC	 
PSEN2	 	peptidase	 	1.043	4.48E-03	3.23E-02	CTSC,CTSS,CYP51A1,CYTIP,DHRS7,FOXO3,IMPACT,PRC1,PSTPIP1,UBC	 
YBX1	 	transcription regulator	 	0.000	4.51E-03	3.24E-02	BCL2,Havcr1,LGALS3,MYC,SIVA1	 
ZMPSTE24	 	peptidase	 	-0.801	4.63E-03	3.31E-02	BTG2,Ccl6,Cmah,GADD45B,GADD45G,LMNA,SOCS3	 
EIF4G2	 	translation regulator	 	 	4.81E-03	3.40E-02	CCND2,CTSD,JUN	 
ELK4	 	transcription regulator	 	 	4.81E-03	3.40E-02	EGR1,JUNB,NR4A1	 
PIM2	 	kinase	 	 	4.81E-03	3.40E-02	CD38,MYC,SELL	 
CEBPA	 	transcription regulator	 	0.693	4.90E-03	3.46E-02	ASS1,CCNA2,CCNB2,CCND2,DHFR,FOXM1,HMGA1,HMGCR,JUN,Ly6a (includes others)	176 (8)
HFE	 	transmembrane receptor	 	0.577	5.02E-03	3.52E-02	ANGPTL4,BHLHE40,DUSP1,EGR1,GADD45G,GSTT2/GSTT2B,HHEX,HMGCR,HMGCS1,LYZ	 
IFNAR1	 	transmembrane receptor	Activated	2.778	5.02E-03	3.52E-02	Apol9a/Apol9b,ASS1,B2M,CD274,HLA-A,HMGCR,HMGCS1,IDI1,IFI16,Ly6a (includes others)	154 (10)
CISH	 	other	 	-1.000	5.23E-03	3.65E-02	BACH2,CDKN1B,CYP4F2,MYC,PECAM1,PLAUR,PPP1R15A,RGCC,SNRPD1	 
PAK2	 	kinase	 	-0.816	5.27E-03	3.66E-02	ASS1,DUSP1,HMGA1,IFI16,PLAUR,S100A6	 
EIF2B5	 	translation regulator	 	 	5.42E-03	3.73E-02	APOE,CCNA2,CCNB2,DUSP1,VIM	 
ITCH	 	enzyme	 	1.342	5.42E-03	3.73E-02	CCNB2,DNMT1,FOS,MCM6,RRM2	 
MAPK7	 	kinase	 	0.555	5.42E-03	3.73E-02	CDKN1B,JUN,KLF2,NOD1,VIM	12 (3)
GAS2L3	 	other	Inhibited	-2.000	5.54E-03	3.78E-02	BTG2,CCND2,EPHX1,PLK2	 
IFNA4	 	cytokine	 	1.982	5.54E-03	3.78E-02	CD69,MAP3K8,MYC,Tgtp1/Tgtp2	112 (7)
DNMT3A	 	enzyme	 	0.535	5.71E-03	3.88E-02	CD38,DNA2,E2F1,EXO1,JCHAIN,KDM6B,MYL4,NR4A1,PLD4,PLK2	 
UCP1	 	transporter	Inhibited	-2.904	6.23E-03	4.15E-02	AARS1,ASNS,BZW2,CHCHD10,GOLM1,Hmgn2 (includes others),MTHFD2,MYC,OTUB2,PSAT1	 
BMP10	 	growth factor	 	0.632	6.31E-03	4.15E-02	ANGPTL4,CCR1,CD274,CD55,FOS,HLA-A,NR4A1,Serpina3g (includes others),SHMT1,SKIL	46 (3)
PRMT7	 	enzyme	 	 	6.37E-03	4.15E-02	BCL6,IRF4	 
AKIRIN2	 	other	 	 	6.37E-03	4.15E-02	CCND2,MYC	 
TAP1	 	transporter	 	 	6.37E-03	4.15E-02	CD1D,HLA-A	 
HINT1	 	enzyme	 	 	6.37E-03	4.15E-02	FADS1,FADS2	 
miR-193a-5p (miRNAs w/seed GGGUCUU)	 	mature microRNA	 	 	6.37E-03	4.15E-02	Ccl6,IL2RG	 
GFRA2	 	transmembrane receptor	 	 	6.37E-03	4.15E-02	EGR1,FOSB	 
CAMK2G	 	kinase	 	 	6.37E-03	4.15E-02	HBA1/HBA2,HBB	 
MAP1S	 	enzyme	 	 	6.37E-03	4.15E-02	BCL2,CDKN1B	 
CAMK2D	 	kinase	 	 	6.37E-03	4.15E-02	HBA1/HBA2,HBB	 
MAD1L1	 	other	 	 	6.37E-03	4.15E-02	MXD3,MYC	 
SMAD3	 	transcription regulator	Activated	2.258	6.65E-03	4.30E-02	AGPAT2,BCL2,CCND2,CKS1B,CYP51A1,FDFT1,FOS,JUN,JUNB,LGALS9B	135 (12)
NKX3-1	 	transcription regulator	 	 	6.66E-03	4.30E-02	BTG2,CTSB,EED,FOS,FOXO3,MYC,SDC4	83 (7)
Srgn	 	other	 	1.890	6.66E-03	4.30E-02	CD300LF,FCMR,Irgm1,JCHAIN,LY6D,LYZ,SBK1	 
RUNX1	 	transcription regulator	 	-1.937	6.87E-03	4.41E-02	ALAS2,BANK1,CCND2,CCR6,CD72,CDKN1B,CSF2RB,HBA1/HBA2,Igtp,Irgm1	66 (5)
IRF8	 	transcription regulator	 	-0.348	6.90E-03	4.41E-02	AICDA,BCL6,CCR6,CCR7,IRF4,KLF4,MYC,PML,TYROBP	146 (10)
NOTCH1	 	transcription regulator	 	-0.579	6.90E-03	4.41E-02	BCL2,CCND2,CCND3,CCNE1,CDCA7,CDKN1B,E2F1,FOSB,MYC	114 (9)
PLCG1	 	enzyme	 	 	6.96E-03	4.42E-02	CCND3,LDHA,PECAM1	 
TGS1	 	enzyme	 	-1.698	6.97E-03	4.42E-02	CCND2,CDK1,CDK2,CDKN1B,CDKN2C,PPP1R15A	 
SREBF2	 	transcription regulator	 	-1.982	6.98E-03	4.42E-02	FADS2,FDFT1,HMGCR,HMGCS1	 
LEF1	 	transcription regulator	 	0.905	7.16E-03	4.51E-02	C3orf70,CDK1,CHCHD10,CHEK1,E130308A19Rik,EPHX1,KIF11,MYC,Naip1 (includes others),NFKBID	 
PIK3CG	 	kinase	 	-1.961	7.42E-03	4.66E-02	Acp5,B2M,CD47,GBP2,GBP7,HLA-A,Igtp,ITGB3,NOD1,Tgtp1/Tgtp2	102 (6)
METTL3	 	enzyme	 	0.213	7.54E-03	4.72E-02	BTG2,DGKA,KLF4,LTK,MYBL1,NR4A1,RPRM,SOCS3,TNFRSF18	 
IPMK	 	kinase	 	1.274	7.63E-03	4.74E-02	FOS,FOSB,ITGB3,JUN,JUNB	 
SRC	 	kinase	 	1.387	7.63E-03	4.74E-02	ABCG1,DUSP1,FOS,MYC,SCARB1	98 (7)
MEX3A	 	other	 	-0.816	7.95E-03	4.93E-02	AGPAT2,ANGPTL4,AURKA,CENPA,LYZ,PLK1	 
ZFP36	1.913	transcription regulator	 	1.342	8.09E-03	5.00E-02	CDC6,CTSS,E2F1,E2F8,KNTC1,OSM,PNRC1,ZFP36	 
DDX25	 	enzyme	 	-0.543	8.20E-03	5.00E-02	BAD,BCL2,CCND2,GADD45B,Gm12854/S100a11,HMGB2,HMGCR,IL2RG,OTUB2,RANGAP1	 
mir-223	 	microRNA	 	0.390	8.20E-03	5.00E-02	CCNE1,CD274,CDKN1B,E2F1,FOXO3,IFI16,Ly6a (includes others),RIPK3,S100A6,SLC29A1	48 (3)
FOXO3	2.757	transcription regulator	 	1.643	8.20E-03	5.00E-02	FOS,FOSB,HMGCR,IL10RB,JUNB,PECAM1,PRKCD,SELL,SERPINB1,TXNIP	 
ASCL1	 	transcription regulator	Inhibited	-2.000	8.22E-03	5.00E-02	BIRC5,CDCA7,CDK1,CDK2,E2F1,FOXM1,GADD45G,PRMT2,SKP2	 
ATG7	 	enzyme	 	-0.513	8.22E-03	5.00E-02	APOE,HJURP,Ly6a (includes others),MYC,PDLIM1,PECAM1,PRKCD,SCARB1,SOCS3	151 (9)
MAPK3	 	kinase	Activated	2.619	8.33E-03	5.05E-02	BCL2,EGR1,FOS,JUNB,NR4A1,SELL,SELPLG	21 (3)
STAT3	 	transcription regulator	 	0.121	8.56E-03	5.17E-02	AICDA,ANGPTL4,BCL6,BIRC5,CCND2,CCNE1,CD274,CDKN1B,CEBPB,CTLA4	206 (14)
FOXF1	 	transcription regulator	 	-1.964	8.65E-03	5.18E-02	CCNE1,CDK2,CDKN1B,ITGB3	 
TFEB	 	transcription regulator	Activated	2.000	8.65E-03	5.18E-02	Acp5,ATP6V0B,CTSB,CTSD	 
FDFT1	-1.785	enzyme	 	1.067	8.65E-03	5.18E-02	FDPS,HMGCR,SCARB1,SQLE	 
IDH2	-1.610	enzyme	 	-1.342	8.94E-03	5.33E-02	AW112010,BTG2,JUN,Ptma (includes others),RAN	 
ATF4	 	transcription regulator	 	0.447	9.35E-03	5.56E-02	AARS1,ARHGAP24,ASNS,BCAT1,CDKN1B,CEBPB,KLF4,LGALS3,MGST1,MTHFD2	 
LAMTOR1	 	other	 	 	9.60E-03	5.64E-02	IMPDH2,MTHFD2,SQLE	 
OSBPL8	 	transporter	 	 	9.60E-03	5.64E-02	APOE,HMGCR,LIPC	 
RARRES2	 	transmembrane receptor	 	 	9.60E-03	5.64E-02	CCNA2,CCNB2,CCND2	 
PRKACA	 	kinase	 	 	9.60E-03	5.64E-02	CCND3,CDKN1B,Sik1	159 (5)
PPARD	 	ligand-dependent nuclear receptor	 	0.871	1.01E-02	5.92E-02	ANGPTL4,APOE,BCL2,CCND2,CDK1,CDKN1B,Chil3/Chil4,CYB561A3,ECH1,Irgm1	 
GATA3	 	transcription regulator	 	0.588	1.01E-02	5.92E-02	ADM,BCL2,BLVRB,CCR1,CDKN2C,CTLA4,FOS,IL9R,RGCC,SLPI	 
MTORC1	 	complex	 	-1.151	1.02E-02	5.93E-02	AHR,FDPS,HMGCR,IDI1,KLF4,LDHA	 
PIK3CD	 	kinase	 	0.000	1.02E-02	5.93E-02	ASNS,CCNA2,CCND2,CCNE1,Igha,PDIA4	 
Igm	 	complex	 	 	1.06E-02	6.11E-02	CCND2,CD69,CDKN1B,EGR1	 
LEPR	 	transmembrane receptor	 	-0.659	1.08E-02	6.24E-02	ABCG1,ANGPTL4,ANXA5,BTG1,CDK2,GADD45B,GADD45G,GTF2A2,H2AZ2,HSPA1A/HSPA1B	 
BDNF	 	growth factor	 	 	1.09E-02	6.24E-02	BHLHE40,CCND2,CEBPB,DUSP1,EGR1,FOS,KLF4,LGALS1,MYL4,RPRM	 
DIO2	 	enzyme	 	0.728	1.09E-02	6.26E-02	B3GNT5,Cbr2,CIRBP,EGR1,FOS,FOSB,GADD45G,HSPA1A/HSPA1B,Hspa1b,IER5	 
PAX6	 	transcription regulator	 	1.913	1.12E-02	6.40E-02	Acp5,CCND2,CDC45,CDC6,CDCA2,CDCA7,CDK2,CENPN,HBE1,IQGAP3	 
DUSP1	2.334	phosphatase	Inhibited	-2.546	1.17E-02	6.66E-02	AACS,Acp5,DUSP1,IFI16,IRAK3,IRF4,OSM,PNRC1,SOCS3,ZFP36	 
LGALS1	2.049	other	 	0.600	1.20E-02	6.74E-02	AHR,CCR1,CTLA4,LGALS3,SOCS3	 
IGHM	 	transmembrane receptor	 	 	1.20E-02	6.74E-02	CCND2,JUN,KLF2,LGALS3,MYC	 
BCL3	 	transcription regulator	Inhibited	-2.213	1.20E-02	6.74E-02	BCL2,CD69,EGR1,FOS,NR4A1	 
CNR1	 	G-protein coupled receptor	 	-1.257	1.22E-02	6.74E-02	APOE,CCNB2,CDCA3,CDK1,EAF2,FOXM1,KIF11,PCNA,PECAM1,PLSCR1	 
Pkg	 	group	 	 	1.24E-02	6.74E-02	EGR1,FOS	 
GPR17	 	G-protein coupled receptor	 	 	1.24E-02	6.74E-02	FOS,RAPGEF3	 
UTP3	 	other	 	 	1.24E-02	6.74E-02	CCND2,CCND3	 
TEX11	 	other	 	 	1.24E-02	6.74E-02	CCNB1,FOS	 
PMP22	 	other	 	 	1.24E-02	6.74E-02	APOE,EMP3	 
G0S2	 	other	 	 	1.24E-02	6.74E-02	CDCA7,MYC	 
